Name,Href,Birthday,Debut,Position,Team
Andrew Abbott,/players/a/abbotan01.shtml,"['June 1', '1999']","['\n    June 5, 2023\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Cory Abbott,/players/a/abbotco01.shtml,"['September 20', '1995']","['\n    June 5, 2021\n    ']",['\n    Pitcher\n  \n'],[]
CJ Abrams,/players/a/abramcj01.shtml,"['October 3', '2000']","['\n    April 8, 2022\n    ']",['\n    Shortstop and Second Baseman\n  \n'],['Washington Nationals']
Bryan Abreu,/players/a/abreubr01.shtml,"['April 22', '1997']","['\n    July 31, 2019\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
José Abreu,/players/a/abreujo02.shtml,"['January 29', '1987']","['\n    March 31, 2014\n    ']",['\n    First Baseman\n  \n'],['Houston Astros']
Wilyer Abreu,/players/a/abreuwi02.shtml,"['June 24', '1999']","['\n    August 22, 2023\n    ']",['\n    Outfielder\n  \n'],['Boston Red Sox']
Garrett Acton,/players/a/actonga01.shtml,"['June 15', '1998']","['\n    May 14, 2023\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Ronald Acuña Jr.,/players/a/acunaro01.shtml,"['December 18', '1997']","['\n    April 25, 2018\n    ']",['\n    Outfielder\n  \n'],['Atlanta Braves']
Jason Adam,/players/a/adamja01.shtml,"['August 4', '1991']","['\n    May 5, 2018\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Willy Adames,/players/a/adamewi01.shtml,"['September 2', '1995']","['\n    May 22, 2018\n    ']",['\n    Shortstop\n  \n'],['Milwaukee Brewers']
Austin Adams,/players/a/adamsau02.shtml,"['May 5', '1991']","['\n    July 15, 2017\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Chance Adams,/players/a/adamsch01.shtml,"['August 4', '1994']","[August 4, 2018]",[Pitcher],['Colorado Rockies]
Jordyn Adams,/players/a/adamsjo03.shtml,"['October 18', '1999']","['\n    August 2, 2023\n    ']",['\n    Outfielder\n  \n'],['Los Angeles Angels']
Riley Adams,/players/a/adamsri03.shtml,"['June 26', '1996']","['\n    June 8, 2021\n    ']",['\n    Catcher\n  \n'],['Washington Nationals']
Ty Adcock,/players/a/adcocty01.shtml,"['February 7', '1997']","['\n    June 12, 2023\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Jo Adell,/players/a/adelljo01.shtml,"['April 8', '1999']","['\n    August 4, 2020\n    ']",['\n    Outfielder\n  \n'],['Los Angeles Angels']
Joan Adon,/players/a/adonjo01.shtml,"['August 12', '1998']","['\n    October 3, 2021\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Ehire Adrianza,/players/a/adriaeh01.shtml,"['August 21', '1989']","['\n    September 8, 2013\n    ']","['\n    Shortstop, Pinch Hitter and Third Baseman\n  \n']",['Los Angeles Angels']
Nick Ahmed,/players/a/ahmedni01.shtml,"['March 15', '1990']","['\n    June 29, 2014\n    ']",['\n    Shortstop\n  \n'],['San Francisco Giants']
Keegan Akin,/players/a/akinke01.shtml,"['April 1', '1995']","['\n    August 14, 2020\n    ']",['\n    Pitcher\n  \n'],['Baltimore Orioles']
Ozzie Albies,/players/a/albieoz01.shtml,"['January 7', '1997']","['\n    August 1, 2017\n    ']",['\n    Second Baseman\n  \n'],['Atlanta Braves']
Jorge Alcalá,/players/a/alcaljo01.shtml,"['July 28', '1995']","['\n    September 21, 2019\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Sandy Alcántara,/players/a/alcansa01.shtml,"['September 7', '1995']","['\n    September 3, 2017\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Sergio Alcántara,/players/a/alcanse01.shtml,"['July 10', '1996']","['\n    September 6, 2020\n    ']","['\n    Shortstop, Second Baseman and Third Baseman\n  \n']",['Pittsburgh Pirates']
