"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_ab_scoring","b_ball","b_called_strike","b_catcher_interf","b_foul","b_foul_tip","b_game","b_gnd_into_dp","b_gnd_into_tp","b_gnd_rule_double","b_hit_by_pitch","b_hit_ground","b_hit_fly","b_hit_into_play","b_hit_line_drive","b_hit_popup","b_out_fly","b_out_ground","b_out_line_drive","b_out_popup","b_intent_ball","b_intent_walk","b_interference","b_pinch_hit","b_pinch_run","b_pitchout","b_played_dh","b_sac_bunt","b_sac_fly","b_swinging_strike","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_run","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","b_total_ball","b_total_sacrifices","b_total_strike","b_total_swinging_strike","b_total_pitches","r_stolen_base_pct","r_total_pickoff","b_reached_on_error","b_walkoff","b_reached_on_int","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","meatball_swing_percent","meatball_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","batted_ball","f_strike_percent","groundballs_percent","groundballs","flyballs_percent","flyballs","linedrives_percent","linedrives","popups_percent","popups","pop_2b_sba_count","pop_2b_sba","pop_2b_sb","pop_2b_cs","pop_3b_sba_count","pop_3b_sba","pop_3b_sb","pop_3b_cs","exchange_2b_3b_sba","maxeff_arm_2b_3b_sba","n_outs_above_average","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent","rel_league_reaction_distance","rel_league_burst_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n_bolts","hp_to_1b","sprint_speed"
"Schanuel, Nolan","694384","2024","22","31","41","2","1","0","0","1","11","8",26.8,19.5,".065",".161",".268","0.429","0.096",".050","4","9","5","0","0","5","66","49","0","26","0","10","1","0","0","1","0","2","21","0","0","3","14","2","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","3","0","0","0","68","1","109","13","177",,"0","2","0","0",".179",".258",".229",".298",".355",".079",".142",".277",".095",".265","85.6","-5.5",23.8,"1",4.8,0,19,19,47.6,9.5,38.1,"96.130086364","92.260895714",47.3,14,19.8,41.2,58.8,"7","17",48.6,"86",42.9,7.9,"27","99","43","177",86,"6","43",51.4,"91",42.4,"75",21.7,33.9,61.9,28.6,9.5,"21",61,66.7,"14",23.8,"5",9.5,"2",0,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.5"
"Siri, Jose","642350","2024","28","41","50","11","6","4","0","1","19","7",38,14,".268",".439",".400","0.839","0.171",".476","4","19","18","1","6","10","75","39","0","36","2","13","1","0","0","2","2","1","22","8","0","4","6","1","0","0","0","0","0","0","0","0","0","0","38","0","1","0","0","0","0","0","0","6","4","2","0","83","0","141","38","224",,"0","1","0","0",".244",".387",".381",".350",".380",".143",".574",".504",".500",".455","91.2","13",45.5,"3",13.6,0,40.9,18.2,22.7,4.5,50,"101.430903636","95.065885909",65.4,34.3,27.4,59.4,40.6,"19","32",52.2,"117",82.4,7.6,"28","139","51","224",64.3,"24","70",47.8,"107",37.1,"83",42.2,45.5,31.8,50,18.2,"22",62,36.4,"8",22.7,"5",40.9,"9",0,"0",,,,,,,,,,,"0","0","0",,"0","2","0.0","2","3","66.7","0","0",,"1","1","100.0","2.1","2.4","-0.3","4.1","39.5",,,"28.7"
"Gallo, Joey","608336","2024","30","39","47","7","1","3","0","3","16","7",34,14.9,".179",".487",".319","0.806","0.308",".200","4","22","19","0","1","10","84","31","0","27","5","11","0","0","0","1","0","4","23","3","0","5","2","1","8","0","0","0","0","0","0","1","0","0","30","0","0","0","0","0","0","0","0","6","1","0","0","91","0","117","30","208",,"0","0","0","0",".191",".466",".355",".347",".329",".275",".478",".461",".304",".323","91.7","43",30.4,"5",21.7,8.7,17.4,47.8,4.3,0,47.8,"101.959719167","95.60105087",67.3,36.4,18.2,60,40,"12","20",52.9,"110",90.9,5.3,"29","130","46","208",63.6,"24","66",47.1,"98",46.2,"96",41.9,41.3,47.8,17.4,34.8,"23",59.6,8.7,"2",39.1,"9",17.4,"4",34.8,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.9"
"Biggio, Cavan","624415","2024","29","34","40","10","7","2","0","1","11","4",27.5,10,".294",".441",".400","0.841","0.147",".409","4","14","15","0","1","9","59","44","0","20","4","12","0","0","0","2","2","3","23","4","1","2","5","1","5","0","0","0","2","0","0","0","0","0","7","0","0","0","0","0","0","0","0","3","1","0","0","64","0","98","7","162",,"0","0","0","0",".253",".347",".382",".327",".365",".094",".476",".382",".435",".374","81.9","25.3",43.5,"1",4.3,13,34.8,26.1,17.4,4.3,26.1,"95.599050833","91.964722174",49.4,7,14.7,72.7,27.3,"8","11",46.3,"75",66.7,3.7,"27","85","35","162",93,"3","43",53.7,"87",50,"81",20.4,33.3,34.8,43.5,21.7,"23",67.5,30.4,"7",21.7,"5",21.7,"5",26.1,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.5"
"Marsh, Brandon","669016","2024","26","39","42","13","9","0","0","4","16","2",38.1,4.8,".333",".641",".357","0.998","0.308",".450","9","16","25","0","1","8","62","37","0","32","3","12","0","0","0","0","4","5","24","4","0","3","6","1","1","0","0","0","0","0","0","0","0","1","18","0","0","0","0","0","0","0","0","6","1","0","0","63","1","115","18","178",,"0","0","0","0",".252",".478",".425",".348",".297",".227",".685",".550",".542",".436","93.6","11.1",33.3,"3",12.5,16.7,33.3,8.3,29.2,0,62.5,"102.653146667","96.910634583",62.2,12.5,25,68.2,31.8,"15","22",49.4,"88",69.2,7.3,"8","105","60","178",87.5,"7","56",50.6,"90",44.9,"80",28.2,43.8,29.2,25,45.8,"24",61.9,41.7,"10",33.3,"8",20.8,"5",4.2,"1",,,,,,,,,,,"0","0","1","0.0","0","1","0.0","2","3","66.7","1","1","100.0","1","1","100.0","-1.1","0.4","0.3","-0.3","33.2",,,"26.8"
"Noda, Ryan","676116","2024","28","37","43","7","6","1","0","0","14","5",32.6,11.6,".189",".216",".286","0.502","0.027",".304","1","11","8","0","0","6","75","34","0","32","1","11","0","0","0","0","4","0","24","3","0","3","11","1","2","0","0","0","1","0","0","1","1","0","30","0","0","0","0","0","0","0","0","3","0","0","0","79","1","121","30","200",,"0","0","0","0",".156",".196",".244",".219",".259",".040",".291",".247",".304",".255","84.2","8.5",16.7,"0",0,4.2,16.7,25,41.7,8.3,25,"96.516567273","92.411744545",64.8,27.9,20,63.2,36.8,"12","19",47.5,"95",82.4,8.5,"31","112","56","200",72.1,"19","68",52.5,"105",46.5,"93",35.6,43.5,54.2,29.2,16.7,"24",58.1,62.5,"15",12.5,"3",16.7,"4",8.3,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.2"
"Tellez, Rowdy","642133","2024","29","34","40","9","8","0","0","1","10","5",25,12.5,".265",".353",".375","0.728","0.088",".348","6","15","12","0","0","10","64","40","0","24","2","13","0","0","0","1","2","1","24","6","0","4","8","1","2","0","0","0","1","0","0","0","0","0","14","0","0","0","0","0","0","0","0","4","0","0","0","68","0","105","14","173",,"0","0","0","0",".284",".474",".339",".382",".392",".190",".388",".459",".375",".403","91.1","12.4",33.3,"2",8.3,8.3,33.3,20.8,25,4.2,50,"103.1571425","96.280287917",54.5,14.6,20,58.8,41.2,"10","17",49.1,"85",75,4.6,"35","99","39","173",85.4,"7","48",50.9,"88",45.7,"79",26.2,37.6,41.7,54.2,4.2,"24",50,41.7,"10",20.8,"5",29.2,"7",8.3,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.8"
"Hoskins, Rhys","656555","2024","31","33","40","7","4","1","0","2","9","5",22.5,12.5,".212",".424",".325","0.749","0.212",".217","6","23","14","0","0","9","74","33","0","28","3","10","3","0","0","1","1","3","25","3","0","7","6","2","3","0","0","0","1","0","0","4","0","1","16","0","0","0","0","0","0","0","0","6","0","0","0","80","1","105","16","185",,"0","0","0","0",".204",".439",".333",".331",".320",".236",".362",".358",".280",".271","84.7","18.4",28,"3",12,0,12,48,20,8,24,"96.50643","92.4906204",59.8,23.1,20.4,35,65,"7","20",53,"98",90.9,5.9,"17","116","41","185",76.9,"12","52",47,"87",39.5,"73",26.4,38.9,48,24,28,"25",57.5,28,"7",40,"10",20,"5",12,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.4"
"Davis, Henry","680779","2024","24","36","45","6","4","2","0","0","13","6",28.9,13.3,".167",".222",".289","0.511","0.055",".240","2","22","8","0","0","10","72","27","0","30","5","11","0","0","0","1","4","0","25","2","0","6","5","3","4","0","0","0","0","1","0","0","0","2","21","0","0","0","0","0","0","0","0","4","0","0","0","79","2","108","21","187",,"0","1","0","0",".166",".209",".248",".247",".294",".043",".247",".245",".240",".249","87.3","22",28,"1",4,4,24,36,28,4,36,"97.304609231","92.8383968",67.4,27.4,20,47.4,52.6,"9","19",50.8,"95",77.8,9.6,"13","116","53","187",72.6,"17","62",49.2,"92",42.8,"80",32.1,43.3,52,28,20,"25",57.8,36,"9",24,"6",24,"6",16,"4","2","1.87","1.87",,"0",,,,"0.69","84.4",,,,,,,,,,,,,,,,,,,,,,,,"27.3"
"Benson, Will","666181","2024","26","43","47","9","1","5","1","2","18","4",38.3,8.5,".209",".512",".277","0.789","0.303",".304","6","23","22","1","2","13","72","27","0","37","2","12","0","0","0","0","2","2","25","5","0","4","9","3","0","0","0","0","0","0","0","1","0","0","30","1","0","0","0","0","1","0","0","5","1","1","0","77","0","122","30","199",,"1","0","0","0",".225",".389",".339",".297",".291",".163",".523",".445",".360",".388","91.7","12.2",40,"4",16,0,32,20,28,4,56,"101.946690769","96.0351472",68.6,28.6,25.8,52,48,"13","25",48.7,"97",85.7,7,"27","123","43","199",71.4,"20","70",51.3,"102",45.2,"90",34.7,47.7,60,24,16,"25",59.6,44,"11",24,"6",32,"8",0,"0",,,,,,,,,,,"2","0","1","0.0","0","0",,"3","3","100.0","3","3","100.0","1","1","100.0","-0.3","-1","-0.2","-1.5","33.2",,,"28.6"
